,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
389,Noise,"Coal Black, True Wireless","('50H', 'H')","₹1,999","₹5,499",4,"(3,798)",63% off
390,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
391,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,095)",85% off
392,Google,"Wintergreen, True Wireless",,"₹22,701","₹22,900",4.7,(98),
393,Soundcore,"Black, True Wireless",,"₹7,999","₹10,999",4.3,(645),27% off
394,Noise,"Pebble Grey, True Wireless",,"₹2,799","₹3,499",4.1,(37),20% off
395,SONY,"Sage Green, True Wireless","('20H', 'H')","₹7,490","₹12,990",4.1,(951),42% off
396,Aroma,"Dazzling Black, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
397,Number,"Glass Black, True Wireless",,₹799,"₹4,999",4,"(20,786)",84% off
398,realme,"Sunrise Beige, True Wireless",,"₹4,999","₹7,999",4.4,"(21,802)",37% off
399,boAt,"Black Sabre, True Wireless","('30 H', 'H')","₹1,299","₹3,299",4,"(23,270)",60% off
400,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
401,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
402,Aroma,"Galaxy Green, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
403,Beats,"Arctic Purple, True Wireless",,"₹6,811","₹6,900",4,(74),1% off
404,Beats,"Storm Grey, True Wireless",,"₹6,900",,4,(74),
405,SONY,"Lavender, True Wireless","('20H', 'H')","₹7,490","₹12,990",4.1,(951),42% off
406,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
407,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
408,Nu,"Black, True Wireless","('72h', 'h')","₹1,799","₹4,999",4.7,(317),64% off
409,Seashot,"Black, True Wireless",,₹482,"₹1,899",4.1,(41),74% off
410,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
411,Noise,"Ivory Grain, True Wireless","('40H', 'H')","₹1,399","₹3,499",4.4,(684),60% off
412,Chaebol,"Black, True Wireless",,₹699,"₹1,999",4,(62),65% off
413,Urban,"White, True Wireless",,"₹2,499","₹5,499",4.4,(8),54% off
414,SONY,"White, True Wireless","('20H', 'H')","₹7,490","₹12,990",4.1,(951),42% off
415,Google,"Clearly White, True Wireless",,"₹4,995","₹9,999",4.3,"(16,237)",50% off
416,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
417,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
418,boAt,"Knight Black, True Wireless","('60H', 'H')",₹999,"₹2,990",4,"(19,42,709)",66% off
419,Sennheiser,"Black Graphite, True Wireless",,"₹19,990","₹29,990",4,(58),33% off
420,Nu,"Sterling Silver, True Wireless","('56h', 'h')",₹849,"₹2,999",4.7,(317),71% off
421,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
